,tweet,lon,lat
157,"['vacuna', 'astrazeneca', 'malo', 'quejar', 'brazo', 'doler', 'minuto', 'maldicion']",-99.1843501,19.3998346
158,"['tocar', 'sputnik', 'incomodidad', 'dolor brazo', 'duro', 'esperar', 'leve']",-99.2058092,19.2970107
159,"['crear', 'manzana', 'auxiliar', 'vacuna', 'vecino', 'apuntaria']",-99.2058092,19.2970107
160,"['insomnio', 'muero', 'cansancio', 'llego', 'cama', 'apretaran', 'boton', 'encendido', 'cerebro', 'consejo', 'cama', 'habitacion', 'contar', 'semilla', 'leer', 'libro', 'papel', 'regresar', 'cama', 'regresar', 'sueno']",-99.1600234,19.152878
161,"['privilegio', 'intelectual', 'organico', 'impresentable', 'trasero', 'cola', 'hora', 'vacuna', 'rematar', 'pregunta', 'sorna', 'facil']",-99.140238,19.2846922
162,"['chavoruco', 'area', 'esperar', 'post', 'vacuna', 'timbiriche', 'activar']",-99.1508609792346,19.446844052015468
163,"['pasar', 'hype', 'facil', 'modos', 'cosa', 'anote', 'vacuna', 'entender']",-99.1919955,19.357102
164,"['menciona', 'pasaporte', 'pasar', 'extranjero', 'curiosidad', 'fila', 'hermana', 'chica', 'hablar', 'espanol', 'vacuna', 'entender']",-99.1600234,19.152878
165,"['porno', 'vivo', 'hijole', 'papas', 'hermanito', 'vacuna']",-99.140238,19.2846922
166,"['jajaja', 'traer', 'vacuna', 'venir', 'dosis', 'volver', 'abstinencia', 'rico', 'bebida', 'cebada']",-98.967727,19.158446
167,"['tocar', 'dosis', 'infalible', 'astrazeneca', 'hora', 'meriendo', 'gana', 'entrar', 'vodka', 'invadir', 'ucrania']",-99.1839571,19.3414625
168,"['recomiendo', 'tome', 'captura', 'numero', 'marques', 'reportar', 'numero', 'vacuna', 'aca']",-99.1843501,19.3998346
169,"['mirar', 'chillon', 'fila', 'clima', 'siento', 'sufre', 'agradecido', 'deberia', 'vacuna', 'hipocrita', 'sufro', 'aguado']",-99.140238,19.2846922
170,"['bonito', 'mix', 'vacuna']",-99.140238,19.2846922
171,"['ay', 'vacuna', 'duro']",-99.1843501,19.3998346
172,"['vacuna', 'frio']",-99.128294,19.4043522
173,"['estimado', 'hector', 'escuchar', 'deportivo', 'xochimilco', 'pesado', 'joven', 'vacuna', 'derecho', 'vacuna', 'presumir', 'senora', 'shimau']",-99.1919955,19.357102
174,"['oferta', 'promocion', 'profesion', 'traemo', 'bonito', 'pose', 'yoga', 'aliviara', 'demonio', 'vida', 'moderna']",-98.989059,19.372499
175,"['pendejo', 'gustar', 'chiquito', 'caramba', 'mama', 'vacuna', 'estupidez', 'desinformar', 'informate']",-99.2058092,19.2970107
176,"['demostrar', 'fila', 'alcoholico', 'genocida', 'presidente', 'historia', 'moderna', 'necedad', 'recuperar', 'perder', 'echar', 'andar', 'funesto', 'legado']",-99.259495,19.3863707
177,"['anciano', 'deber', 'jubilar', 'crear', 'conflicto', 'vacuna', 'astrazeneca', 'esperar', 'milagro', 'cerrar', 'boca']",-99.2058092,19.2970107
178,"['entender', 'foto', 'previo', 'post', 'vacuna']",-99.1843501,19.3998346
179,"['tonteria', 'tiro', 'puerta', 'chiva', 'hacios', 'jugar']",-99.259495,19.3863707
180,"['noticia', 'ami', 'chamba', 'regalar', 'dosis', 'white', 'chaparra', 'combatir', 'insomnio', 'tom', 'ora', 'nomas', 'pasen', 'tip', 'fumar', 'mimir']",-99.1919955,19.357102
181,"['justo', 'imaginar', 'escuchar', 'medicina', 'ileso', 'cancer', 'presidente', 'vacuna', 'nino', 'seguramente', 'dolor', 'presidente', 'quitar', 'sueno', 'satanas', 'encarnado']",-99.1843501,19.3998346
182,"['noche', 'tirada', 'fiebre', 'vacuna', 'alguien']",-99.1843501,19.3998346
183,"['papas', 'vacuna', 'alivio', 'alma']",-99.259495,19.3863707
184,"['ojala', 'morir', 'vacuna']",-99.259495,19.3863707
185,"['post', 'vacuna', 'doler', 'brazo', 'fiebre', 'vacuna']",-99.118665,19.484399
186,"['regreso', 'vacunada', 'proceso', 'durar', 'veinte', 'minuto', 'agil', 'chance', 'reposar', 'ratito', 'dolor brazo', 'moderna', 'vacunacionanticovid']",-99.118665,19.484399
187,"['experiencia', 'vacuna', 'pasar', 'realmente']",-99.1919955,19.357102
188,"['jajajaja', 'vacuna', 'ligar', 'fila']",-99.1600234,19.152878
189,"['cafecito', 'chocolate', 'frio', 'vacuna']",-99.1919955,19.357102
190,"['vacuna', 'astrazeneca', 'seneca', 'especimen', 'presentar', 'fiebre', 'mantener', 'alimentar', 'hidratado', 'presentar', 'dolor brazo', 'sueno', 'mover', 'pique', 'varita', 'seguir', 'vivo']",-99.180678,19.444937
191,"['nomas', 'falta', 'digas', 'vacuna', 'chip', 'tocino', 'digas', 'cafe', 'bebida', 'gustar']",-99.1843501,19.3998346
192,"['porcentaje', 'vacuna', 'implementado', 'preocupar', 'salten', 'fila', 'risa']",-99.1843501,19.3998346
193,"['agarrar', 'administracion', 'noche', 'gente', 'aya', 'vacuna', 'sano', 'juicio', 'recordara', 'pesimo', 'partido', 'lleno', 'puras', 'trenza']",-99.140238,19.2846922
194,"['comentar', 'orden', 'vacuna', 'justo', 'adulto', 'parado', 'sol', 'pensar']",-99.2058092,19.2970107
195,"['epi', 'vacuna', 'aire', 'conspiracion', 'cia', 'cerro', 'cia', 'monterrey']",-99.180678,19.444937
196,"['reportar', 'tradicional', 'torto', 'tamal', 'after', 'dosis', 'astrazeneca', 'amable', 'noche']",-99.19772386550903,19.425040206309205
197,"['vecino', 'esperar', 'cansancio']",-99.1843501,19.3998346
198,"['sencillo', 'estimar', 'vacuna', 'contagia', 'sintoma', 'curar', 'casa', 'sintoma', 'leve', 'vacuna', 'hospital', 'consumir', 'cama', 'recurso', 'quedar', 'casa', 'morir', 'escoge']",-99.140238,19.2846922
199,"['deber', 'admitir', 'epoca', 'mamon', 'alzar', 'brazo', 'observacion', 'post', 'vacuna', 'vacuna']",-99.259495,19.3863707
