,Dominant_Topic,Perc_Contribution,Topic_Keywords,0,lat,lon
1201,7.0,0.775,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['bano', 'manana', 'diarrea', 'estupido', 'vacuna', 'sputnik', 'raro']",19.348881,-99.151349
1202,7.0,0.7749,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['tocar', 'sable', 'camara', 'lento', 'ayuda', 'cansancio', 'fronton', 'cerrado']",19.32485402,-99.18605154
1223,7.0,0.8199,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['mami', 'seguir', 'dosis', 'vibras', 'positivo', 'viejita']",19.412031,-99.413769
1250,7.0,0.8714,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['culpa', 'gilberto', 'sentaro', 'volver', 'ablar', 'mente', 'volver', 'prometimo', 'amamos', 'cansancio', 'sospechar', 'hiba', 'acabar']",19.456367,-99.221136
1259,7.0,0.775,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['persona', 'diabeticos', 'tipo', 'tocar', 'vacuna']",19.3668621,-99.067766
1262,7.0,0.5253,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['regalo', 'corneta', 'semana', 'vacuna', 'sali', 'minuto', 'pasear', 'sentir', 'vali', 'verga']",19.2970107,-99.2058092
1268,7.0,0.8714,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['ano', 'papa', 'avisar', 'vacuna', 'covid', 'paz', 'tranquilidad']",19.0763934,-99.7825792
1287,7.0,0.7045,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['valer', 'coreano', 'sentir', 'madre', 'vacuna', 'astrazeneca', 'crear', 'inoculacion', 'agua']",19.484399,-99.118665
1296,7.0,0.3023,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['registrar', 'mama', 'tia', 'vacuna', 'volver', 'reponer', 'tranquilidad', 'esperanza', 'ausente', 'mes', 'resta', 'esperar', 'llevemos', 'sorpresitamo', 'acostumbrado', 'inyecten', 'aire']",19.2846922,-99.140238
1304,7.0,0.5497,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['confirmar', 'llegar', 'vacuna', 'cero', 'ficha', 'cero', 'volver', 'formar', 'regresar', 'procedimiento', 'deber', 'minuto', 'persona']",19.444937,-99.180678
1309,7.0,0.55,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['normal', 'desperdicien', 'vacuna', 'paleto']",19.444937,-99.180678
1316,7.0,0.82,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['papa', 'vacuna', 'jueves', 'mama', 'sabado']",19.357102,-99.1919955
1337,7.0,0.9,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['mision', 'cumplida', 'hermana', 'ano', 'mantuvimos', 'sano', 'salvar', 'mama', 'dosis', 'sentir', 'tranquilidad']",19.357102,-99.1919955
1344,7.0,0.4693,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['amigo', 'vacuna', 'jaja']",19.065226,-98.828815
1364,7.0,0.7,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['adivinen', 'recibir', 'booster', 'vacuna', 'mama']",19.425040206309205,-99.19772386550903
1366,7.0,0.5168,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['ar', 'dosis', 'done', 'vacuna', 'astrazeneca', 'banda', 'twitter', 'vacuna', 'piedad', 'disculpen', 'ojito', 'regalo', 'aguja', 'cosa', 'pd', 'minuto', 'durar', 'proceso', 'juntaron', 'gente', 'alcaldia']",19.40519324522639,-99.09996271133424
1367,7.0,0.6631,"dosis, sentir, persona, tocar, mama, gente, duda, papa, cansancio, jaja","['mama', 'tardar', 'minuto', 'pasar', 'marisco', 'coraje', 'marisco', 'esperar', 'formado', 'recibir', 'vacuna', 'covid']",19.4043522,-99.128294
